,NAME,GRADE,AGE,SKILL,STARCOLL,NUMOFF,POS,HEIGHT_IN,WEIGHT_LBS,COLLDIST_MI,NILVAL_LONG_USD,INSTA_LONG,TWIT_LONG,TIK_LONG,SPORT,RECRUIT_YEAR,EXP_MONTHS,EXP_YEARS,institution_name_short,ClassificationCode,REV_MEN,EXP_MEN
665,Jalil Bethea,0.0,17.0,98.84,Miami,25.0,2.0,76.0,180.0,1043.0,434000.0,29000.0,966.0,0.0,basketball,2024.0,0.0,0.0,Miami,1.0,9978355.0,9936656.0
682,Koa Peat,0.0,16.0,99.22,Michigan,25.0,5.0,79.0,200.0,1637.0,288000.0,37000.0,2800.0,10800.0,basketball,2025.0,0.0,0.0,Michigan,1.0,21141253.0,10733046.0
683,Meleek Thomas,0.0,16.0,98.92,Michigan,22.0,2.0,75.0,175.0,237.0,271000.0,16900.0,1700.0,0.0,basketball,2025.0,0.0,0.0,Michigan,1.0,21141253.0,10733046.0
684,Darius Acuff,0.0,16.0,98.4,Michigan,18.0,1.0,72.0,175.0,41.0,219000.0,15900.0,1100.0,63.0,basketball,2025.0,0.0,0.0,Michigan,1.0,21141253.0,10733046.0
685,VJ Edgecombe,0.0,17.0,98.69,Michigan,22.0,2.0,76.0,180.0,7633.0,412000.0,5900.0,1100.0,0.0,basketball,2024.0,0.0,0.0,Michigan,1.0,21141253.0,10733046.0
695,Rakease Passmore,0.0,17.0,95.62,Wake Forest,25.0,4.0,77.0,185.0,453.0,64000.0,11600.0,1800.0,210.0,basketball,2024.0,0.0,0.0,Wake Forest,1.0,10061485.0,9962597.0
734,Elijah Williams,0.0,15.0,98.5,Arizona State,5.0,4.0,78.0,180.0,7.0,138000.0,2700.0,0.0,0.0,basketball,2026.0,0.0,0.0,Arizona State,1.0,9458824.0,8969411.0
739,Caleb Wilson,0.0,16.0,99.15,Georgia Tech,24.0,5.0,81.0,195.0,0.0,260000.0,3600.0,1500.0,0.0,basketball,2025.0,0.0,0.0,Georgia Tech,1.0,9258729.0,8210051.0
740,Bryson Tiller,0.0,16.0,98.86,Georgia Tech,25.0,5.0,81.0,220.0,0.0,234000.0,31000.0,984.0,28000.0,basketball,2025.0,0.0,0.0,Georgia Tech,1.0,9258729.0,8210051.0
741,Jerry Easter,0.0,16.0,96.44,Georgia Tech,25.0,1.0,75.0,180.0,547.0,83000.0,38000.0,2100.0,18400.0,basketball,2025.0,0.0,0.0,Georgia Tech,1.0,9258729.0,8210051.0
744,Moustapha Diop,0.0,15.0,97.12,Georgia Tech,5.0,5.0,81.0,210.0,15.0,107000.0,1100.0,113.0,0.0,basketball,2026.0,0.0,0.0,Georgia Tech,1.0,9258729.0,8210051.0
