,NAME,GRADE,AGE,SKILL,STARCOLL,NUMOFF,POS,HEIGHT_IN,WEIGHT_LBS,COLLDIST_MI,NILVAL_LONG_USD,INSTA_LONG,TWIT_LONG,TIK_LONG,TOT_FOL,SPORT,RECRUIT_YEAR,EXP_MONTHS,EXP_YEARS,institution_name_short,ClassificationCode,REV_MEN,EXP_MEN
522,Theo Melin Ohrstrom,1.0,21.40861466821886,90.23,Texas A&M,13.0,11.0,78.0,243.0,835.0,68000.0,3000.0,3000.0,0.0,3000.0,football,2022.0,14.0,1.1726027397260275,Texas A&M,1.0,81545748.0,46083048.0
523,Jadon Scarlett,1.0,20.0,89.61,Texas A&M,24.0,5.0,74.0,265.0,173.0,72000.0,2500.0,2500.0,0.0,2500.0,football,2022.0,14.0,1.1726027397260275,Texas A&M,1.0,81545748.0,46083048.0
524,Jarred Kerr,4.0,19.0,89.54,Texas A&M,20.0,4.0,72.0,180.0,45.0,82000.0,2764.0,2700.0,64.0,2764.0,football,2022.0,14.0,1.1726027397260275,Texas A&M,1.0,81545748.0,46083048.0
529,Shemar Turner,6.0,20.0,97.94,Texas A&M,25.0,2.0,76.0,282.0,141.0,546000.0,6900.0,5000.0,1900.0,6900.0,football,2021.0,26.0,2.1726027397260275,Texas A&M,1.0,81545748.0,46083048.0
531,Bryce Foster,3.0,20.0,95.96,Texas A&M,24.0,10.0,77.0,330.0,64.0,80000.0,12470.0,12200.0,270.0,12470.0,football,2021.0,26.0,2.1726027397260275,Texas A&M,1.0,81545748.0,46083048.0
533,Reuben Fatheree,6.0,20.0,95.23,Texas A&M,25.0,6.0,80.0,305.0,86.0,73000.0,3900.0,3900.0,0.0,3900.0,football,2021.0,26.0,2.1726027397260275,Texas A&M,1.0,81545748.0,46083048.0
536,Deuce Harmon,3.0,20.0,92.53,Texas A&M,23.0,7.0,70.0,190.0,187.0,94000.0,64500.0,5500.0,59000.0,64500.0,football,2021.0,26.0,2.1726027397260275,Texas A&M,1.0,81545748.0,46083048.0
540,Jardin Gilbert,6.0,20.0,91.52,Texas A&M,25.0,4.0,73.0,175.0,307.0,91000.0,44500.0,2500.0,42000.0,44500.0,football,2021.0,26.0,2.1726027397260275,Texas A&M,1.0,81545748.0,46083048.0
541,Amari Daniels,6.0,20.0,91.32,Texas A&M,1.0,9.0,68.0,200.0,1028.0,92000.0,4450.0,4000.0,450.0,4450.0,football,2021.0,26.0,2.1726027397260275,Texas A&M,1.0,81545748.0,46083048.0
542,Trey Zuhn,3.0,20.0,90.86,Texas A&M,10.0,6.0,78.0,300.0,848.0,72000.0,1700.0,1700.0,0.0,1700.0,football,2021.0,26.0,2.1726027397260275,Texas A&M,1.0,81545748.0,46083048.0
545,Remington Strickland,3.0,20.0,89.13,Texas A&M,25.0,10.0,76.0,292.0,80.0,73000.0,2600.0,2600.0,0.0,2600.0,football,2021.0,26.0,2.1726027397260275,Texas A&M,1.0,81545748.0,46083048.0
546,Dametrious Crownover,3.0,22.0,89.0,Texas A&M,25.0,10.0,78.0,275.0,125.0,72000.0,2600.0,2600.0,0.0,2600.0,football,2021.0,26.0,2.1726027397260275,Texas A&M,1.0,81545748.0,46083048.0
548,Albert Regis,3.0,20.0,88.63,Texas A&M,17.0,5.0,73.0,300.0,99.0,77000.0,46900.0,1900.0,45000.0,46900.0,football,2021.0,26.0,2.1726027397260275,Texas A&M,1.0,81545748.0,46083048.0
549,Tyreek Chappell,6.0,20.0,88.55,Texas A&M,25.0,7.0,71.0,170.0,1352.0,88000.0,2002.0,2000.0,2.0,2002.0,football,2021.0,26.0,2.1726027397260275,Texas A&M,1.0,81545748.0,46083048.0
550,Fernando Garza,3.0,20.272727272727273,86.5,Texas A&M,21.0,11.0,77.0,244.0,64.0,83000.0,1848.0,1800.0,48.0,1848.0,football,2021.0,26.0,2.1726027397260275,Texas A&M,1.0,81545748.0,46083048.0
560,Cam Coleman,0.0,17.0,98.15,Texas A&M,25.0,3.0,75.5,185.0,677.0,316000.0,3000.0,3000.0,0.0,3000.0,football,2024.0,0.0,0.0,Texas A&M,1.0,81545748.0,46083048.0
561,Terry Bussey,0.0,17.0,97.22,Texas A&M,25.0,15.0,70.5,180.0,142.0,249000.0,6300.0,3400.0,2900.0,6300.0,football,2024.0,0.0,0.0,Texas A&M,1.0,81545748.0,46083048.0
562,Dominick McKinley,0.0,17.0,96.48,Texas A&M,25.0,5.0,77.0,280.0,259.0,227000.0,1600.0,1600.0,0.0,1600.0,football,2024.0,0.0,0.0,Texas A&M,1.0,81545748.0,46083048.0
563,Dealyn Evans,0.0,17.0,94.04,Texas A&M,16.0,5.0,76.5,260.0,162.0,129000.0,2689.0,2100.0,589.0,2689.0,football,2024.0,0.0,0.0,Texas A&M,1.0,81545748.0,46083048.0
564,Dre'lon Miller,0.0,17.0,93.64,Texas A&M,25.0,3.0,71.5,200.0,129.0,126000.0,7500.0,4600.0,2900.0,7500.0,football,2024.0,0.0,0.0,Texas A&M,1.0,81545748.0,46083048.0
565,Weston Davis,0.0,17.0,93.46,Texas A&M,17.0,6.0,77.5,285.0,137.0,118000.0,709.0,709.0,0.0,709.0,football,2024.0,0.0,0.0,Texas A&M,1.0,81545748.0,46083048.0
566,Isendre Ahfua,0.0,17.0,92.89,Texas A&M,21.0,10.0,76.0,285.0,1808.0,110000.0,2720.0,2400.0,320.0,2720.0,football,2024.0,0.0,0.0,Texas A&M,1.0,81545748.0,46083048.0
567,Blake Ivy,0.0,17.0,92.84,Texas A&M,14.0,10.0,75.5,280.0,106.0,107000.0,844.0,844.0,0.0,844.0,football,2024.0,0.0,0.0,Texas A&M,1.0,81545748.0,46083048.0
568,Jordan Pride,0.0,17.0,92.7,Texas A&M,13.0,4.0,73.5,175.0,670.0,124000.0,5800.0,3500.0,2300.0,5800.0,football,2024.0,0.0,0.0,Texas A&M,1.0,81545748.0,46083048.0
569,Myles Davis,0.0,17.0,90.76,Texas A&M,25.0,4.0,72.5,190.0,140.0,78000.0,1885.0,1800.0,85.0,1885.0,football,2024.0,0.0,0.0,Texas A&M,1.0,81545748.0,46083048.0
570,Ashton Funk,0.0,17.0,90.44,Texas A&M,25.0,10.0,78.0,275.0,64.0,71000.0,2000.0,2000.0,0.0,2000.0,football,2024.0,0.0,0.0,Texas A&M,1.0,81545748.0,46083048.0
581,Debron Gatling,0.0,17.0,88.06,Texas A&M,25.0,3.0,74.0,175.0,742.0,65000.0,2700.0,2700.0,0.0,2700.0,football,2024.0,0.0,0.0,Texas A&M,1.0,81545748.0,46083048.0
585,Jackson Arnold,2.0,18.282809611829943,98.94,Oklahoma,22.0,1.0,72.5,198.0,139.0,759000.0,31000.0,31000.0,0.0,31000.0,football,2023.0,2.0,0.1726027397260274,Oklahoma,1.0,132659502.0,54176637.0
586,Adepoju Adebawore,2.0,18.282809611829943,98.81,Oklahoma,21.0,2.0,76.5,226.0,306.0,379000.0,9100.0,9100.0,0.0,9100.0,football,2023.0,2.0,0.1726027397260274,Oklahoma,1.0,132659502.0,54176637.0
587,Peyton Bowen,2.0,19.0,98.04,Oklahoma,23.0,4.0,72.0,180.0,139.0,347000.0,16300.0,16300.0,0.0,16300.0,football,2023.0,2.0,0.1726027397260274,Oklahoma,1.0,132659502.0,54176637.0
588,Samuel Omosigho,2.0,19.0,95.31,Oklahoma,24.0,8.0,73.0,215.0,188.0,146000.0,10600.0,10600.0,0.0,10600.0,football,2023.0,2.0,0.1726027397260274,Oklahoma,1.0,132659502.0,54176637.0
589,Makari Vickers,2.0,18.0,94.65,Oklahoma,19.0,4.0,72.5,180.0,825.0,147000.0,7000.0,5100.0,1900.0,7000.0,football,2023.0,2.0,0.1726027397260274,Oklahoma,1.0,132659502.0,54176637.0
590,Jaquaize Pettaway,2.0,19.0,94.56,Oklahoma,21.0,3.0,71.0,170.0,394.0,143000.0,14200.0,11400.0,2800.0,14200.0,football,2023.0,2.0,0.1726027397260274,Oklahoma,1.0,132659502.0,54176637.0
591,Cayden Green,2.0,18.0,94.39,Oklahoma,25.0,6.0,76.5,315.0,301.0,132000.0,13900.0,11500.0,2400.0,13900.0,football,2023.0,2.0,0.1726027397260274,Oklahoma,1.0,132659502.0,54176637.0
592,Jacobe Johnson,2.0,19.0,93.48,Oklahoma,17.0,7.0,73.0,185.0,29.0,131000.0,6400.0,6400.0,0.0,6400.0,football,2023.0,2.0,0.1726027397260274,Oklahoma,1.0,132659502.0,54176637.0
593,Lewis Carter,2.0,18.0,92.54,Oklahoma,25.0,8.0,72.0,196.0,1004.0,112000.0,7100.0,7100.0,0.0,7100.0,football,2023.0,2.0,0.1726027397260274,Oklahoma,1.0,132659502.0,54176637.0
595,Jasiah Wagoner,2.0,19.0,90.09,Oklahoma,11.0,7.0,70.0,170.0,1530.0,66000.0,4780.0,4700.0,80.0,4780.0,football,2023.0,2.0,0.1726027397260274,Oklahoma,1.0,132659502.0,54176637.0
596,Daylan Smothers,2.0,18.0,89.49,Oklahoma,25.0,9.0,70.5,173.0,926.0,99000.0,66200.0,11200.0,55000.0,66200.0,football,2023.0,2.0,0.1726027397260274,Oklahoma,1.0,132659502.0,54176637.0
598,Daeh McCullough,2.0,19.0,89.25,Oklahoma,22.0,4.0,74.0,200.0,743.0,132000.0,364400.0,5400.0,359000.0,364400.0,football,2023.0,2.0,0.1726027397260274,Oklahoma,1.0,132659502.0,54176637.0
612,Gentry Williams,4.0,19.0,94.97,Oklahoma,19.0,4.0,71.0,164.0,96.0,79000.0,13000.0,13000.0,0.0,13000.0,football,2022.0,14.0,1.1726027397260275,Oklahoma,1.0,132659502.0,54176637.0
613,Jake Taylor,4.0,19.0,94.48,Oklahoma,22.0,10.0,77.5,283.0,1002.0,64000.0,7484.0,7300.0,184.0,7484.0,football,2022.0,14.0,1.1726027397260275,Oklahoma,1.0,132659502.0,54176637.0
614,Jovantae Barnes,4.0,20.0,94.01,Oklahoma,25.0,9.0,71.5,185.0,1002.0,77000.0,5500.0,5500.0,0.0,5500.0,football,2022.0,14.0,1.1726027397260275,Oklahoma,1.0,132659502.0,54176637.0
615,Nick Evers,4.0,19.0,93.59,Oklahoma,25.0,1.0,75.0,196.0,152.0,94000.0,23000.0,23000.0,0.0,23000.0,football,2022.0,14.0,1.1726027397260275,Oklahoma,1.0,132659502.0,54176637.0
616,Gavin Sawchuk,1.0,20.0,93.38,Oklahoma,25.0,9.0,70.5,180.0,521.0,64000.0,15100.0,15100.0,0.0,15100.0,football,2022.0,14.0,1.1726027397260275,Oklahoma,1.0,132659502.0,54176637.0
617,Jayden Gibson,4.0,19.0,93.18,Oklahoma,25.0,3.0,77.0,190.0,1028.0,88000.0,20800.0,18800.0,2000.0,20800.0,football,2022.0,14.0,1.1726027397260275,Oklahoma,1.0,132659502.0,54176637.0
618,Jaren Kanak,4.0,19.0,93.03,Oklahoma,22.0,8.0,74.0,220.0,278.0,114000.0,160400.0,17400.0,143000.0,160400.0,football,2022.0,14.0,1.1726027397260275,Oklahoma,1.0,132659502.0,54176637.0
619,Robert Spears-Jennings,4.0,19.0,92.94,Oklahoma,15.0,4.0,73.0,192.0,97.0,74000.0,16100.000000000002,16100.000000000002,0.0,16100.000000000002,football,2022.0,14.0,1.1726027397260275,Oklahoma,1.0,132659502.0,54176637.0
620,Nicholas Anderson,1.0,19.0,91.78,Oklahoma,25.0,3.0,75.5,190.0,384.0,77000.0,10900.0,9300.0,1600.0,10900.0,football,2022.0,14.0,1.1726027397260275,Oklahoma,1.0,132659502.0,54176637.0
621,Jacob Sexton,4.0,19.0,91.17,Oklahoma,19.0,10.0,78.0,294.0,37.0,66000.0,19000.0,13900.0,5100.0,19000.0,football,2022.0,14.0,1.1726027397260275,Oklahoma,1.0,132659502.0,54176637.0
622,Kobie McKinzie,1.0,20.0,91.16,Oklahoma,16.0,8.0,74.0,245.0,285.0,82000.0,18216.0,17900.0,316.0,18216.0,football,2022.0,14.0,1.1726027397260275,Oklahoma,1.0,132659502.0,54176637.0
623,Kaden Helms,1.0,19.0,90.91,Oklahoma,25.0,11.0,76.5,220.0,415.0,89000.0,95400.0,14400.0,81000.0,95400.0,football,2022.0,14.0,1.1726027397260275,Oklahoma,1.0,132659502.0,54176637.0
624,Gracen Halton,4.0,19.0,90.56,Oklahoma,22.0,5.0,74.0,262.0,1151.0,68000.0,7300.0,7300.0,0.0,7300.0,football,2022.0,14.0,1.1726027397260275,Oklahoma,1.0,132659502.0,54176637.0
626,Kip Lewis,1.0,19.0,90.44,Oklahoma,21.0,8.0,73.0,200.0,274.0,74000.0,9248.0,8700.0,548.0,9248.0,football,2022.0,14.0,1.1726027397260275,Oklahoma,1.0,132659502.0,54176637.0
627,Jayden Rowe,1.0,20.0,90.38,Oklahoma,14.0,7.0,75.0,210.0,96.0,76000.0,10000.0,10000.0,0.0,10000.0,football,2022.0,14.0,1.1726027397260275,Oklahoma,1.0,132659502.0,54176637.0
628,R Mason Thomas,4.0,19.0,90.38,Oklahoma,23.0,5.0,73.5,215.0,1195.0,65000.0,3200.0,3200.0,0.0,3200.0,football,2022.0,14.0,1.1726027397260275,Oklahoma,1.0,132659502.0,54176637.0
634,Caleb Williams,6.0,21.0,98.76,Oklahoma,24.0,1.0,73.0,210.0,1142.0,2600000.0,97000.0,75000.0,22000.0,97000.0,football,2021.0,26.0,2.1726027397260275,Oklahoma,1.0,132659502.0,54176637.0
636,Mario Williams,6.0,20.0,96.72,Oklahoma,25.0,3.0,69.0,186.0,1018.0,118000.0,24700.0,13500.0,11200.0,24700.0,football,2021.0,26.0,2.1726027397260275,Oklahoma,1.0,132659502.0,54176637.0
637,Billy Bowman,6.0,20.0,95.57,Oklahoma,25.0,4.0,70.0,188.0,139.0,93000.0,19200.0,14400.0,4800.0,19200.0,football,2021.0,26.0,2.1726027397260275,Oklahoma,1.0,132659502.0,54176637.0
638,Savion Byrd,3.0,20.272727272727273,94.76,Oklahoma,21.0,10.0,77.0,295.0,179.0,64000.0,6000.0,6000.0,0.0,6000.0,football,2021.0,26.0,2.1726027397260275,Oklahoma,1.0,132659502.0,54176637.0
639,Kelvin Gilliam,3.0,20.0,94.27,Oklahoma,25.0,2.0,74.0,250.0,1119.0,80000.0,8800.0,8800.0,0.0,8800.0,football,2021.0,26.0,2.1726027397260275,Oklahoma,1.0,132659502.0,54176637.0
641,Jalil Farooq,6.0,22.0,93.19,Oklahoma,25.0,3.0,73.0,200.0,1154.0,88000.0,18100.0,15900.0,2200.0,18100.0,football,2021.0,26.0,2.1726027397260275,Oklahoma,1.0,132659502.0,54176637.0
642,Ethan Downs,6.0,20.0,91.61,Oklahoma,1.0,2.0,76.0,240.0,85.0,81000.0,15597.0,15300.0,297.0,15597.0,football,2021.0,26.0,2.1726027397260275,Oklahoma,1.0,132659502.0,54176637.0
647,Danny Stutsman,6.0,20.0,89.46,Oklahoma,19.0,8.0,75.0,215.0,1028.0,196000.0,35900.0,28000.0,7900.0,35900.0,football,2021.0,26.0,2.1726027397260275,Oklahoma,1.0,132659502.0,54176637.0
649,Michael Fasusi,0.0,16.0,95.01,Oklahoma,25.0,6.0,76.0,287.0,152.0,120000.0,1800.0,1800.0,0.0,1800.0,football,2025.0,0.0,0.0,Oklahoma,1.0,132659502.0,54176637.0
650,Ty Haywood,0.0,16.0,94.12,Oklahoma,17.0,6.0,76.5,270.0,139.0,81000.0,705.0,705.0,0.0,705.0,football,2025.0,0.0,0.0,Oklahoma,1.0,132659502.0,54176637.0
651,CJ Nickson,0.0,16.0,93.53,Oklahoma,12.0,15.0,77.0,216.0,85.0,66000.0,1000.0,1000.0,0.0,1000.0,football,2025.0,0.0,0.0,Oklahoma,1.0,132659502.0,54176637.0
655,Jaden Nickens,0.0,16.0,92.11,Oklahoma,12.0,3.0,75.0,170.0,22.0,77000.0,6200.0,1900.0,4300.0,6200.0,football,2025.0,0.0,0.0,Oklahoma,1.0,132659502.0,54176637.0
656,Nate Roberts,0.0,16.0,91.76,Oklahoma,25.0,11.0,76.0,235.0,15.0,63000.0,2600.0,2600.0,0.0,2600.0,football,2025.0,0.0,0.0,Oklahoma,1.0,132659502.0,54176637.0
660,Kevin Sperry,0.0,16.0,90.3,Oklahoma,21.0,1.0,73.0,185.0,7462.0,62000.0,4300.0,4300.0,0.0,4300.0,football,2025.0,0.0,0.0,Oklahoma,1.0,132659502.0,54176637.0
668,David Stone,0.0,17.0,98.56,Oklahoma,25.0,5.0,76.0,280.0,22.0,374000.0,26800.0,21000.0,5800.0,26800.0,football,2024.0,0.0,0.0,Oklahoma,1.0,132659502.0,54176637.0
669,Taylor Tatum,0.0,17.0,95.92,Oklahoma,25.0,9.0,70.5,200.0,239.0,189000.0,11100.0,9400.0,1700.0,11100.0,football,2024.0,0.0,0.0,Oklahoma,1.0,132659502.0,54176637.0
670,Zion Kearney,0.0,17.0,94.23,Oklahoma,25.0,3.0,74.0,195.0,407.0,124000.0,3568.0,3300.0,268.0,3568.0,football,2024.0,0.0,0.0,Oklahoma,1.0,132659502.0,54176637.0
671,Davon Mitchell,0.0,17.0,94.07,Oklahoma,25.0,11.0,75.0,250.0,1186.0,133000.0,3800.0,3800.0,0.0,3800.0,football,2024.0,0.0,0.0,Oklahoma,1.0,132659502.0,54176637.0
672,Nigel Smith II,0.0,17.0,93.27,Oklahoma,25.0,5.0,76.0,264.0,141.0,118000.0,7467.0,6600.0,867.0,7467.0,football,2024.0,0.0,0.0,Oklahoma,1.0,132659502.0,54176637.0
673,Danny Okoye,0.0,17.0,92.4,Oklahoma,25.0,2.0,76.0,240.0,96.0,86000.0,3700.0,3700.0,0.0,3700.0,football,2024.0,0.0,0.0,Oklahoma,1.0,132659502.0,54176637.0
674,Jaydan Hardy,0.0,17.0,91.39,Oklahoma,25.0,4.0,72.0,170.0,152.0,109000.0,86000.0,4000.0,82000.0,86000.0,football,2024.0,0.0,0.0,Oklahoma,1.0,132659502.0,54176637.0
675,Ivan Carreon,0.0,17.0,91.19,Oklahoma,4.0,3.0,78.0,195.0,374.0,78000.0,1600.0,1600.0,0.0,1600.0,football,2024.0,0.0,0.0,Oklahoma,1.0,132659502.0,54176637.0
676,Zion Ragins,0.0,17.0,91.15,Oklahoma,25.0,3.0,67.0,150.0,798.0,81000.0,2986.0,2300.0,686.0,2986.0,football,2024.0,0.0,0.0,Oklahoma,1.0,132659502.0,54176637.0
695,Jackson Cantwell,0.0,15.0,93.52,Oklahoma,21.0,6.0,79.5,305.0,253.0,124000.0,1800.0,1800.0,0.0,1800.0,football,2026.0,0.0,0.0,Oklahoma,1.0,132659502.0,54176637.0
696,Brock Harris,0.0,15.0,91.84,Oklahoma,19.0,11.0,78.0,210.0,919.0,69000.0,921.0,921.0,0.0,921.0,football,2026.0,0.0,0.0,Oklahoma,1.0,132659502.0,54176637.0
697,Francis Mauigoa,2.0,18.0,98.77,Miami,25.0,6.0,77.5,326.0,178.0,323000.0,8900.0,7500.0,1400.0,8900.0,football,2023.0,2.0,0.1726027397260274,Miami,1.0,74206277.0,74206277.0
698,Samson Okunlola,2.0,18.0,97.74,Miami,25.0,6.0,77.0,305.0,1244.0,300000.0,20100.0,12900.0,7200.0,20100.0,football,2023.0,2.0,0.1726027397260274,Miami,1.0,74206277.0,74206277.0
699,Rueben Bain,2.0,18.282809611829943,95.7,Miami,21.0,5.0,73.5,249.0,5.0,145000.0,8100.0,8100.0,0.0,8100.0,football,2023.0,2.0,0.1726027397260274,Miami,1.0,74206277.0,74206277.0
700,Jayden Wayne,2.0,19.0,94.61,Miami,25.0,2.0,76.5,216.0,2726.0,145000.0,11877.0,11300.0,577.0,11877.0,football,2023.0,2.0,0.1726027397260274,Miami,1.0,74206277.0,74206277.0
701,Riley Williams,2.0,18.0,93.84,Miami,20.0,11.0,77.5,243.0,2703.0,118000.0,4800.0,3700.0,1100.0,4800.0,football,2023.0,2.0,0.1726027397260274,Miami,1.0,74206277.0,74206277.0
702,Ray Ray Joseph,2.0,19.0,93.18,Miami,25.0,3.0,68.0,168.0,5.0,131000.0,13500.0,11600.0,1900.0,13500.0,football,2023.0,2.0,0.1726027397260274,Miami,1.0,74206277.0,74206277.0
704,Collins Acheampong,2.0,18.282809611829943,92.94,Miami,17.0,2.0,79.0,255.0,2294.0,114000.0,3400.0,3400.0,0.0,3400.0,football,2023.0,2.0,0.1726027397260274,Miami,1.0,74206277.0,74206277.0
705,Robert Stafford,2.0,19.0,92.88,Miami,25.0,7.0,71.0,175.0,162.0,107000.0,5000.0,3200.0,1800.0,5000.0,football,2023.0,2.0,0.1726027397260274,Miami,1.0,74206277.0,74206277.0
707,Malik Bryant,2.0,19.0,92.14,Miami,25.0,8.0,74.0,225.0,205.0,118000.0,17200.0,14100.0,3100.0,17200.0,football,2023.0,2.0,0.1726027397260274,Miami,1.0,74206277.0,74206277.0
709,Robby Washington,2.0,19.0,91.89,Miami,16.0,3.0,70.5,170.0,5.0,99000.0,10400.0,5400.0,5000.0,10400.0,football,2023.0,2.0,0.1726027397260274,Miami,1.0,74206277.0,74206277.0
721,Nyjalik Kelly,4.0,18.0,94.53,Miami,24.0,2.0,76.0,233.0,27.0,75000.0,4500.0,4500.0,0.0,4500.0,football,2022.0,14.0,1.1726027397260275,Miami,1.0,74206277.0,74206277.0
722,TreVonte' Citizen,1.0,19.0,94.52,Miami,21.0,9.0,72.0,215.0,847.0,73000.0,6900.0,6900.0,0.0,6900.0,football,2022.0,14.0,1.1726027397260275,Miami,1.0,74206277.0,74206277.0
723,Cyrus Moss,1.0,20.0,94.29,Miami,25.0,2.0,78.0,200.0,2173.0,75000.0,6600.0,6600.0,0.0,6600.0,football,2022.0,14.0,1.1726027397260275,Miami,1.0,74206277.0,74206277.0
724,Jaleel Skinner,4.0,19.0,94.28,Miami,24.0,11.0,76.375,216.0,643.0,83000.0,8886.0,8700.0,186.0,8886.0,football,2022.0,14.0,1.1726027397260275,Miami,1.0,74206277.0,74206277.0
727,Wesley Bissainthe,4.0,19.0,92.52,Miami,25.0,8.0,73.0,200.0,5.0,74000.0,13700.0,3600.0,10100.0,13700.0,football,2022.0,14.0,1.1726027397260275,Miami,1.0,74206277.0,74206277.0
728,Markeith Williams,1.0,20.0,90.86,Miami,20.0,4.0,73.0,175.0,205.0,64000.0,2100.0,2100.0,0.0,2100.0,football,2022.0,14.0,1.1726027397260275,Miami,1.0,74206277.0,74206277.0
729,Jacurri Brown,4.0,20.0,90.04,Miami,24.0,1.0,76.0,207.0,393.0,93000.0,7900.0,7900.0,0.0,7900.0,football,2022.0,14.0,1.1726027397260275,Miami,1.0,74206277.0,74206277.0
730,Isaiah Horton,1.0,19.0,89.79,Miami,23.0,3.0,75.0,205.0,781.0,64000.0,2400.0,2400.0,0.0,2400.0,football,2022.0,14.0,1.1726027397260275,Miami,1.0,74206277.0,74206277.0
739,Leonard Taylor,3.0,21.0,98.68,Miami,21.0,5.0,76.0,296.0,5.0,255000.0,13612.0,12700.0,912.0,13612.0,football,2021.0,26.0,2.1726027397260275,Miami,1.0,74206277.0,74206277.0
740,James Williams,6.0,20.0,97.28,Miami,25.0,4.0,77.0,215.0,11.0,307000.0,15600.0,15600.0,0.0,15600.0,football,2021.0,26.0,2.1726027397260275,Miami,1.0,74206277.0,74206277.0
741,Jake Garcia,3.0,21.0,95.87,Miami,24.0,1.0,75.0,195.0,597.0,108000.0,20200.0,14700.0,5500.0,20200.0,football,2021.0,26.0,2.1726027397260275,Miami,1.0,74206277.0,74206277.0
743,Elijah Arroyo,3.0,20.0,92.5,Miami,24.0,11.0,76.0,245.0,1120.0,74000.0,3603.0,3500.0,103.0,3603.0,football,2021.0,26.0,2.1726027397260275,Miami,1.0,74206277.0,74206277.0
744,Brashard Smith,6.0,20.0,92.19,Miami,25.0,3.0,70.0,196.0,5.0,79000.0,6117.0,6100.0,17.0,6117.0,football,2021.0,26.0,2.1726027397260275,Miami,1.0,74206277.0,74206277.0
747,Jacolby George,6.0,20.0,91.29,Miami,11.0,3.0,72.0,176.0,27.0,77000.0,4500.0,4500.0,0.0,4500.0,football,2021.0,26.0,2.1726027397260275,Miami,1.0,74206277.0,74206277.0
752,Kamren Kinchens,6.0,20.0,89.9,Miami,25.0,4.0,71.0,198.0,5.0,447000.0,7500.0,1500.0,6000.0,7500.0,football,2021.0,26.0,2.1726027397260275,Miami,1.0,74206277.0,74206277.0
753,Ryan Rodriguez,3.0,20.0,89.75,Miami,13.0,10.0,74.0,286.0,5.0,68000.0,3100.0,3100.0,0.0,3100.0,football,2021.0,26.0,2.1726027397260275,Miami,1.0,74206277.0,74206277.0
760,Andres Borregales,6.0,20.272727272727273,81.5,Miami,5.0,12.0,71.0,170.0,6.0,63000.0,6300.0,6300.0,0.0,6300.0,football,2021.0,26.0,2.1726027397260275,Miami,1.0,74206277.0,74206277.0
761,Armondo Blount,0.0,16.0,98.71,Miami,25.0,5.0,75.5,250.0,5.0,219000.0,2300.0,2300.0,0.0,2300.0,football,2025.0,0.0,0.0,Miami,1.0,74206277.0,74206277.0
762,Naeshaun Montgomery,0.0,16.0,93.18,Miami,21.0,3.0,73.0,165.0,68.0,61000.0,6100.0,1800.0,4300.0,6100.0,football,2025.0,0.0,0.0,Miami,1.0,74206277.0,74206277.0
763,Deandre Desinor,0.0,16.0,93.0,Miami,21.0,9.0,69.0,170.0,50.0,68000.0,928.0,602.0,326.0,928.0,football,2025.0,0.0,0.0,Miami,1.0,74206277.0,74206277.0
777,Joshisa Trader,0.0,17.0,96.0,Miami,25.0,3.0,72.5,175.0,5.0,218000.0,32100.0,6100.0,26000.0,32100.0,football,2024.0,0.0,0.0,Miami,1.0,74206277.0,74206277.0
778,Kevin Riley,0.0,17.0,94.26,Miami,25.0,9.0,72.0,192.0,681.0,141000.0,2521.0,1900.0,621.0,2521.0,football,2024.0,0.0,0.0,Miami,1.0,74206277.0,74206277.0
779,Marquise Lightfoot,0.0,17.0,94.21,Miami,25.0,2.0,77.0,220.0,1191.0,124000.0,2200.0,2200.0,0.0,2200.0,football,2024.0,0.0,0.0,Miami,1.0,74206277.0,74206277.0
780,Zaquan Patterson,0.0,17.0,94.21,Miami,25.0,4.0,72.5,185.0,21.0,130000.0,3300.0,3300.0,0.0,3300.0,football,2024.0,0.0,0.0,Miami,1.0,74206277.0,74206277.0
781,Chance Robinson,0.0,17.0,92.96,Miami,25.0,3.0,72.5,205.0,27.0,111000.0,3200.0,3200.0,0.0,3200.0,football,2024.0,0.0,0.0,Miami,1.0,74206277.0,74206277.0
782,Artavius Jones,0.0,17.0,92.0,Miami,16.0,5.0,74.0,285.0,435.0,85000.0,1900.0,1900.0,0.0,1900.0,football,2024.0,0.0,0.0,Miami,1.0,74206277.0,74206277.0
783,Booker Pickett,0.0,17.0,91.08,Miami,25.0,2.0,74.0,185.0,204.0,68000.0,2981.0,2700.0,281.0,2981.0,football,2024.0,0.0,0.0,Miami,1.0,74206277.0,74206277.0
803,Keenyi Pepe,0.0,15.0,93.02,Miami,22.0,6.0,78.0,275.0,178.0,120000.0,982.0,982.0,0.0,982.0,football,2026.0,0.0,0.0,Miami,1.0,74206277.0,74206277.0
804,Calvin Russell,0.0,15.0,91.75,Miami,19.0,15.0,76.0,176.0,11.0,64000.0,758.0,758.0,0.0,758.0,football,2026.0,0.0,0.0,Miami,1.0,74206277.0,74206277.0
805,Cormani McClain,2.0,19.0,98.16,Colorado,25.0,7.0,73.0,159.0,1563.0,441000.0,17800.0,12600.0,5200.0,17800.0,football,2023.0,2.0,0.1726027397260274,Colorado,1.0,49113361.0,25536219.0
806,Dylan Edwards,2.0,18.0,92.43,Colorado,25.0,9.0,68.0,155.0,462.0,137000.0,63000.0,12000.0,51000.0,63000.0,football,2023.0,2.0,0.1726027397260274,Colorado,1.0,49113361.0,25536219.0
